id,device_id,product_name,product_sku,category_name,amount,status,created_at,happened_at
1,169,libero. Morbi,3.77001E+12,"amet,",749,cancelled,10/16/2022 3:52,5/15/2022 8:10
2,9,"hendrerit a,",3.77001E+12,magna,235,refused,2/22/2023 9:02,8/15/2022 9:06
3,25,neque vitae,3.77001E+12,"montes,",304,accepted,2/27/2023 6:21,1/26/2022 6:50
4,89,Sed eu,3.77001E+12,erat,141,accepted,1/1/2023 3:10,10/9/2022 7:59
5,40,dolor. Nulla,3.77001E+12,Etiam,549,cancelled,10/9/2022 3:20,10/23/2021 10:12
6,44,vel pede,3.77001E+12,dictum,873,refused,12/22/2022 9:37,10/21/2022 8:27
7,59,et netus,3.77001E+12,ac,638,accepted,12/13/2022 1:09,10/7/2021 5:02
8,4,consequat dolor,3.77001E+12,vel,710,accepted,1/24/2023 6:45,11/27/2022 1:46
9,111,posuere cubilia,3.77001E+12,massa.,262,accepted,11/17/2022 1:53,12/9/2021 6:00
10,159,Donec fringilla.,3.77001E+12,Morbi,613,accepted,12/25/2022 11:28,2/10/2023 3:26
11,29,"malesuada vel,",3.77001E+12,Duis,386,refused,11/21/2022 7:59,9/26/2022 5:56
12,142,augue. Sed,3.77001E+12,rutrum,518,refused,10/6/2022 11:05,1/15/2023 6:45
13,69,"dapibus rutrum,",3.77001E+12,Maecenas,148,cancelled,10/1/2022 5:18,11/21/2022 10:00
14,33,lobortis quam,3.77001E+12,quam,405,cancelled,12/5/2022 5:31,12/30/2022 6:59
15,141,sed dolor.,3.77001E+12,"ornare,",748,accepted,2/15/2023 3:02,1/18/2023 11:09
16,81,felis ullamcorper,3.77001E+12,adipiscing,509,cancelled,1/6/2023 7:59,10/25/2021 11:49
17,62,amet ante.,3.77001E+12,sit,884,refused,2/3/2023 6:27,2/16/2022 4:36
18,160,vitae nibh.,3.77001E+12,ultrices,707,cancelled,10/12/2022 8:17,9/25/2022 7:31
19,196,Vestibulum ut,3.77001E+12,Cras,571,cancelled,10/15/2022 12:31,10/25/2022 2:02
20,128,tristique senectus,3.77001E+12,lorem,547,cancelled,2/22/2023 1:09,3/20/2022 7:32
21,186,ullamcorper magna.,3.77001E+12,semper,883,accepted,11/28/2022 5:03,7/3/2022 12:05
22,138,"ultricies ornare,",3.77001E+12,In,329,accepted,1/2/2023 5:59,9/21/2022 4:01
23,82,amet ultricies,3.77001E+12,Morbi,660,accepted,12/12/2022 4:48,11/18/2021 4:47
24,151,faucibus. Morbi,3.77001E+12,mauris,794,refused,12/8/2022 7:32,7/30/2022 12:24
25,111,"nec, mollis",3.77001E+12,Mauris,861,refused,11/23/2022 6:35,3/5/2022 12:30
26,32,est ac,v3770009015028,risus.,736,refused,10/21/2022 1:05,4/30/2022 8:39
27,75,augue ut,3.77001E+12,eros,490,accepted,1/7/2023 9:37,6/9/2022 12:35
